session,date,animal,experiment,epoch,relative_path,size_bytes,modified_local,known_limitation
TSAL20250731_0830_staticAndStaticFree,20250731,TS,interference,R1,Data/TSAL20250731_0830_staticAndStaticFree_processed.nwb,318379419,2026-05-20T02:23:45,
TSAL20250801_0830_staticAndStaticFree,20250801,TS,interference,R1,Data/TSAL20250801_0830_staticAndStaticFree_processed.nwb,205102204,2026-05-20T02:22:33,
TSAL20250802_0830_staticAndStaticFree001,20250802,TS,interference,R1,Data/TSAL20250802_0830_staticAndStaticFree001_processed.nwb,214580247,2026-05-20T02:22:06,
TSAL20250803_1400_staticAndStaticFree001,20250803,TS,interference,R1,Data/TSAL20250803_1400_staticAndStaticFree001_processed.nwb,238902115,2026-05-20T02:21:18,
TSAL20250804_0830_staticAndStaticFree001,20250804,TS,interference,R1,Data/TSAL20250804_0830_staticAndStaticFree001_processed.nwb,295759090,2026-05-20T02:20:41,
TSAL20250805_0830_staticAndStaticFree001,20250805,TS,interference,R1,Data/TSAL20250805_0830_staticAndStaticFree001_processed.nwb,208622517,2026-05-27T22:50:40,
TSAL20250806_0830_staticAndStaticFree001,20250806,TS,interference,R1,Data/TSAL20250806_0830_staticAndStaticFree001_processed.nwb,249830007,2026-05-20T02:12:54,
TSAL20250807_0830_staticAndStaticFree001,20250807,TS,interference,R1,Data/TSAL20250807_0830_staticAndStaticFree001_processed.nwb,194005256,2026-05-20T02:05:51,
TSAL20250808_0830_staticAndStaticFree001,20250808,TS,interference,R1,Data/TSAL20250808_0830_staticAndStaticFree001_processed.nwb,125680584,2026-05-20T02:01:04,
TSAL20250809_0830_staticAndStaticFree001,20250809,TS,interference,R1,Data/TSAL20250809_0830_staticAndStaticFree001_processed.nwb,156466103,2026-05-20T01:55:13,
TSAL20250810_0830_staticAndStaticFree001,20250810,TS,interference,R1,Data/TSAL20250810_0830_staticAndStaticFree001_processed.nwb,128360399,2026-05-20T01:51:01,
TSAL20250811_0830_staticAndStaticFree001,20250811,TS,interference,R1,Data/TSAL20250811_0830_staticAndStaticFree001_processed.nwb,212130172,2026-05-20T01:45:00,
TSAL20250812_0830_staticAndStaticFree001,20250812,TS,interference,R1,Data/TSAL20250812_0830_staticAndStaticFree001_processed.nwb,195244171,2026-05-20T01:39:13,
TSAL20250813_0830_staticAndStaticFree001,20250813,TS,interference,R1,Data/TSAL20250813_0830_staticAndStaticFree001_processed.nwb,170797811,2026-03-24T15:24:41,
TSAL20250828_0830_interferenceAndInterferenceFree001,20250828,TS,interference,R2,Data/TSAL20250828_0830_interferenceAndInterferenceFree001_processed.nwb,199785137,2026-05-23T20:38:02,
TSAL20250829_0830_interferenceAndInterferenceFree001,20250829,TS,interference,R2,Data/TSAL20250829_0830_interferenceAndInterferenceFree001_processed.nwb,257539380,2026-05-23T20:45:11,
TSAL20250830_0830_interferenceAndInterferenceFree001,20250830,TS,interference,R2,Data/TSAL20250830_0830_interferenceAndInterferenceFree001_processed.nwb,239968747,2026-06-06T02:57:31,
TSAL20260609_0830_forgetAndForgetFree001,20260609,TS,forget_control,R1,Data/TSAL20260609_0830_forgetAndForgetFree001_processed.nwb,217482568,2026-08-20T22:36:17,forget event 2 pose is all NaN in the current processed NWB; approximately 70 trials are unavailable pending reprocessing
TSAL20260610_0830_forgetAndForgetFree001,20260610,TS,forget_control,R1,Data/TSAL20260610_0830_forgetAndForgetFree001_processed.nwb,177051293,2026-08-20T22:34:56,"complete processed file, but the animal performed only 31 usable S/F reaching trials"
TSAL20260611_0830_forgetAndForgetFree001,20260611,TS,forget_control,R1,Data/TSAL20260611_0830_forgetAndForgetFree001_processed.nwb,130408899,2026-08-20T22:34:11,
TSAL20260626_0830_forgetAndForgetFree001,20260626,TS,forget_control,R2,Data/TSAL20260626_0830_forgetAndForgetFree001_processed.nwb,138658349,2026-08-16T01:54:04,
TSAL20260627_0830_forgetAndForgetFree001,20260627,TS,forget_control,R2,Data/TSAL20260627_0830_forgetAndForgetFree001_processed.nwb,126552316,2026-08-17T12:46:21,
TSAL20260628_0830_forgetAndForgetFree001,20260628,TS,forget_control,R2,Data/TSAL20260628_0830_forgetAndForgetFree001_processed.nwb,143128572,2026-08-17T12:46:06,
TYTR20250206_0830_staticAndStaticFree001,20250206,TY,interference,R1,Data/TYTR20250206_0830_staticAndStaticFree001_processed.nwb,435415195,2026-08-03T11:50:54,
TYTR20250207_0830_staticAndStaticFree001,20250207,TY,interference,R1,Data/TYTR20250207_0830_staticAndStaticFree001_processed.nwb,307783590,2026-08-03T12:01:31,
