condition,pair_id,r1_session,r2_session,r1_date,r2_date,R1->R2,R2->R1,gap
interference_fixed40,1,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,0.2881691001607476,0.5267315320892073,0.2385624319284596
interference_fixed40,2,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,0.3004285057435909,0.4810948464395024,0.1806663406959115
interference_fixed40,3,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250731,20250830,0.1763326346393967,0.396638200088085,0.2203055654486882
interference_fixed40,4,TSAL20250801_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250801,20250828,0.3490451918365614,0.5369631549995685,0.1879179631630072
interference_fixed40,5,TSAL20250801_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250801,20250829,0.3306728003514754,0.5829307822143823,0.2522579818629067
interference_fixed40,6,TSAL20250801_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250801,20250830,0.2973636983068314,0.5119413102449218,0.2145776119380905
interference_fixed40,7,TSAL20250802_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250802,20250828,0.4085948660615692,0.4921759441509506,0.0835810780893814
interference_fixed40,8,TSAL20250802_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250802,20250829,0.4861904712175618,0.5185450893164265,0.0323546180988645
interference_fixed40,9,TSAL20250802_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250802,20250830,0.407414501752978,0.4291824028661936,0.0217679011132155
interference_fixed40,10,TSAL20250803_1400_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250803,20250828,0.3574229572397038,0.5250598486511452,0.1676368914114414
interference_fixed40,11,TSAL20250803_1400_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250803,20250829,0.3639787050463296,0.5174275294645153,0.1534488244181856
interference_fixed40,12,TSAL20250803_1400_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250803,20250830,0.2845470911984856,0.4422569368828421,0.1577098456843564
interference_fixed40,13,TSAL20250804_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250804,20250828,0.3520702430792417,0.5011487952986083,0.1490785522193667
interference_fixed40,14,TSAL20250804_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250804,20250829,0.380252548883266,0.5525426957945412,0.1722901469112752
interference_fixed40,15,TSAL20250804_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250804,20250830,0.3095035860016084,0.512000966483101,0.2024973804814925
interference_fixed40,16,TSAL20250805_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250805,20250828,0.3999340115516377,0.5113769059743793,0.1114428944227415
interference_fixed40,17,TSAL20250805_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250805,20250829,0.454391112797614,0.5359391546577936,0.0815480418601794
interference_fixed40,18,TSAL20250805_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250805,20250830,0.4382488630148728,0.4595898053058826,0.0213409422910096
interference_fixed40,19,TSAL20250806_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250806,20250828,0.3732507842701052,0.5078509464436956,0.1346001621735902
interference_fixed40,20,TSAL20250806_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250806,20250829,0.3933122447435239,0.5616029479646987,0.1682907032211748
interference_fixed40,21,TSAL20250806_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250806,20250830,0.3783033248626213,0.4709628873021237,0.0926595624395024
interference_fixed40,22,TSAL20250807_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250807,20250828,0.412221308021009,0.4086749407907213,-0.0035463672302877
interference_fixed40,23,TSAL20250807_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250807,20250829,0.4390928008638252,0.5171972759009078,0.0781044750370825
interference_fixed40,24,TSAL20250807_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250807,20250830,0.3789376982728419,0.4101788015513824,0.0312411032785404
interference_fixed40,25,TSAL20250808_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250808,20250828,0.4206814963949727,0.5235286753841851,0.1028471789892123
interference_fixed40,26,TSAL20250808_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250808,20250829,0.4670756172355933,0.53978684124029,0.0727112240046967
interference_fixed40,27,TSAL20250808_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250808,20250830,0.45591310075814,0.4989476755680251,0.043034574809885
interference_fixed40,28,TSAL20250809_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250809,20250828,0.3728237234382247,0.4819508280977707,0.109127104659546
interference_fixed40,29,TSAL20250809_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250809,20250829,0.4432415087936781,0.5554772961313246,0.1122357873376465
interference_fixed40,30,TSAL20250809_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250809,20250830,0.4008073496291169,0.4820837370705895,0.0812763874414723
interference_fixed40,31,TSAL20250810_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250810,20250828,0.3650153238037514,0.5048244659776288,0.1398091421738774
interference_fixed40,32,TSAL20250810_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250810,20250829,0.4550770348112521,0.5197957685562287,0.0647187337449765
interference_fixed40,33,TSAL20250810_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250810,20250830,0.3972901781436238,0.4307180005388519,0.0334278223952281
interference_fixed40,34,TSAL20250811_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250811,20250828,0.3911231247128202,0.5041535284389053,0.1130304037260851
interference_fixed40,35,TSAL20250811_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250811,20250829,0.4602887416016034,0.5291753375531631,0.0688865959515597
interference_fixed40,36,TSAL20250811_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250811,20250830,0.479617610328469,0.4947880414315475,0.0151704311030784
