condition,day_index,r2_date,time_bin,time_end_ms,gap_mean
Original interference random fixed40,1,20250828,3,120,0.1550027849098776
Original interference random fixed40,1,20250828,4,150,0.1636622112474467
Original interference random fixed40,1,20250828,5,180,0.1715466828839023
Original interference random fixed40,1,20250828,6,210,0.1780266431519956
Original interference random fixed40,1,20250828,7,240,0.1777920767381359
Original interference random fixed40,1,20250828,8,270,0.1701149847083734
Original interference random fixed40,1,20250828,9,300,0.1600116886614162
Original interference random fixed40,1,20250828,10,330,0.1515933870103778
Original interference random fixed40,1,20250828,11,360,0.1480481333137582
Original interference random fixed40,1,20250828,12,390,0.1452820372484541
Original interference random fixed40,1,20250828,13,420,0.14079704946096
Original interference random fixed40,1,20250828,14,450,0.1345526916764529
Original interference random fixed40,1,20250828,15,480,0.1276873635743221
Original interference random fixed40,1,20250828,16,510,0.1233682450780185
Original interference random fixed40,1,20250828,17,540,0.1209160972865503
Original interference random fixed40,1,20250828,18,570,0.1186513295681012
Original interference random fixed40,1,20250828,19,600,0.1159723265449069
Original interference random fixed40,1,20250828,20,630,0.1128266601581512
Original interference random fixed40,1,20250828,21,660,0.1104710101803493
Original interference random fixed40,1,20250828,22,690,0.1091478306220502
Original interference random fixed40,1,20250828,23,720,0.108273123963728
Original interference random fixed40,1,20250828,24,750,0.1076468821189135
Original interference random fixed40,1,20250828,25,780,0.1072154211518292
Original interference random fixed40,1,20250828,26,810,0.1070104567324958
Original interference random fixed40,1,20250828,27,840,0.1074316507879116
Original interference random fixed40,1,20250828,28,870,0.108271781603686
Original interference random fixed40,1,20250828,29,900,0.1091004678801715
Original interference random fixed40,1,20250828,30,930,0.1099369835565023
Original interference random fixed40,1,20250828,31,960,0.1102969523769517
Original interference random fixed40,1,20250828,32,990,0.1105184209009855
Original interference random fixed40,1,20250828,33,1020,0.1106471903370412
Original interference random fixed40,1,20250828,34,1050,0.1108255611828676
Original interference random fixed40,1,20250828,35,1080,0.1109567312861198
Original interference random fixed40,1,20250828,36,1110,0.1108778027276481
Original interference random fixed40,1,20250828,37,1140,0.1108599418890781
Original interference random fixed40,1,20250828,38,1170,0.1109681523327271
Original interference random fixed40,1,20250828,39,1200,0.1108222776281319
Original interference random fixed40,1,20250828,40,1230,0.110428889047536
Original interference random fixed40,1,20250828,41,1260,0.1100881666381172
Original interference random fixed40,1,20250828,42,1290,0.109660489150021
Original interference random fixed40,1,20250828,43,1320,0.1089881108239719
Original interference random fixed40,1,20250828,44,1350,0.1085816405730395
Original interference random fixed40,1,20250828,45,1380,0.1082979316328164
Original interference random fixed40,1,20250828,46,1410,0.1081038346212217
Original interference random fixed40,1,20250828,47,1440,0.1082558103604972
Original interference random fixed40,1,20250828,48,1470,0.1085403863067125
Original interference random fixed40,1,20250828,49,1500,0.108817300075062
Original interference random fixed40,1,20250828,50,1530,0.1090143142864791
Original interference random fixed40,1,20250828,51,1560,0.1091283565856873
Original interference random fixed40,1,20250828,52,1590,0.1091806773630356
Original interference random fixed40,1,20250828,53,1620,0.1092714691578029
Original interference random fixed40,1,20250828,54,1650,0.1094500558029144
Original interference random fixed40,1,20250828,55,1680,0.1095939522193065
Original interference random fixed40,1,20250828,56,1710,0.1096203209267458
Original interference random fixed40,1,20250828,57,1740,0.1096421249111751
Original interference random fixed40,1,20250828,58,1770,0.1096650690983883
Original interference random fixed40,1,20250828,59,1800,0.1096646766319713
Original interference random fixed40,1,20250828,60,1830,0.1096456420743977
Original interference random fixed40,1,20250828,61,1860,0.1096387028898456
Original interference random fixed40,1,20250828,62,1890,0.1096194336975953
Original interference random fixed40,1,20250828,63,1920,0.1096009750709605
Original interference random fixed40,1,20250828,64,1950,0.1096161499754059
Original interference random fixed40,1,20250828,65,1980,0.1096412018575347
Original interference random fixed40,1,20250828,66,2010,0.1096833440864928
Original interference random fixed40,1,20250828,67,2040,0.1097357806978709
Original interference random fixed40,1,20250828,68,2070,0.1097930632135033
Original interference random fixed40,1,20250828,69,2100,0.1098501058581249
Original interference random fixed40,1,20250828,70,2130,0.1098982488970788
Original interference random fixed40,1,20250828,71,2160,0.1098822661746654
