condition,day_index,r2_date,time_bin,time_center_ms,gap_mean,running_mean_gap
Forget dropout-clean fixed39,1,20260626,1,45.0,0.027938415454755804,0.027938415454755804
Forget dropout-clean fixed39,1,20260626,2,75.0,0.12019243771666442,0.07406542658571011
Forget dropout-clean fixed39,1,20260626,3,105.0,0.11632604043266839,0.08815229786802954
Forget dropout-clean fixed39,1,20260626,4,135.0,0.1391718175980775,0.10090717780054152
Forget dropout-clean fixed39,1,20260626,5,165.0,0.1464593529792981,0.11001761283629284
Forget dropout-clean fixed39,1,20260626,6,195.0,0.17329452711199195,0.12056376521557603
Forget dropout-clean fixed39,1,20260626,7,225.0,0.12095822003013357,0.12062011590336995
Forget dropout-clean fixed39,1,20260626,8,255.0,0.023206037636003908,0.1084433561199492
Forget dropout-clean fixed39,1,20260626,9,285.0,-0.010570396221041514,0.09521960585983912
Forget dropout-clean fixed39,1,20260626,10,315.0,-0.02166008254891475,0.08353163701896374
Forget dropout-clean fixed39,1,20260626,11,345.0,-0.017839633290331586,0.07431606699084597
Forget dropout-clean fixed39,1,20260626,12,375.0,-0.03501665143152489,0.06520500712231507
Forget dropout-clean fixed39,1,20260626,13,405.0,-0.032130564241691764,0.05771765547892994
Forget dropout-clean fixed39,1,20260626,14,435.0,0.0020178717551447164,0.05373909949865956
Forget dropout-clean fixed39,1,20260626,15,465.0,0.006385963707536668,0.05058222377925136
Forget dropout-clean fixed39,1,20260626,16,495.0,-0.008727090056907574,0.046875391664491436
Forget dropout-clean fixed39,2,20260627,1,45.0,-0.023141685624723084,-0.023141685624723084
Forget dropout-clean fixed39,2,20260627,2,75.0,0.08172527695019538,0.029291795662736143
Forget dropout-clean fixed39,2,20260627,3,105.0,0.01483451590190318,0.024472702409125153
Forget dropout-clean fixed39,2,20260627,4,135.0,-0.11824969499362156,-0.011207896941561525
Forget dropout-clean fixed39,2,20260627,5,165.0,-0.17762735295393658,-0.04449178814403653
Forget dropout-clean fixed39,2,20260627,6,195.0,-0.1316468487118651,-0.05901763157200796
Forget dropout-clean fixed39,2,20260627,7,225.0,-0.1050442753789126,-0.06559286640156577
Forget dropout-clean fixed39,2,20260627,8,255.0,-0.08931305432251317,-0.0685578898916842
Forget dropout-clean fixed39,2,20260627,9,285.0,-0.07417386003738927,-0.06918188657454032
Forget dropout-clean fixed39,2,20260627,10,315.0,-0.05710239768275109,-0.06797393768536139
Forget dropout-clean fixed39,2,20260627,11,345.0,-0.03585119195216833,-0.06505368807325293
Forget dropout-clean fixed39,2,20260627,12,375.0,0.008365403689365891,-0.05893543042636803
Forget dropout-clean fixed39,2,20260627,13,405.0,0.026104618991109874,-0.052393888163485114
Forget dropout-clean fixed39,2,20260627,14,435.0,0.005206557889034058,-0.04827957058830517
Forget dropout-clean fixed39,2,20260627,15,465.0,-0.015644289618636998,-0.04610388519032729
Forget dropout-clean fixed39,2,20260627,16,495.0,0.011793925468369494,-0.04248527202415874
Forget dropout-clean fixed39,3,20260628,1,45.0,-0.0936112044902713,-0.0936112044902713
Forget dropout-clean fixed39,3,20260628,2,75.0,-0.05241960608559437,-0.07301540528793284
Forget dropout-clean fixed39,3,20260628,3,105.0,-0.04821337037557199,-0.06474806031714589
Forget dropout-clean fixed39,3,20260628,4,135.0,-0.03883607200221945,-0.058270063238414285
Forget dropout-clean fixed39,3,20260628,5,165.0,-0.025875370945707656,-0.05179112477987296
Forget dropout-clean fixed39,3,20260628,6,195.0,0.04164687488053076,-0.03621812483647233
Forget dropout-clean fixed39,3,20260628,7,225.0,0.06112374929404148,-0.02231214281782751
Forget dropout-clean fixed39,3,20260628,8,255.0,0.03823737231631105,-0.014743453426060187
Forget dropout-clean fixed39,3,20260628,9,285.0,0.06721708617637376,-0.005636726803567527
Forget dropout-clean fixed39,3,20260628,10,315.0,0.11887208584520098,0.006814154461309325
Forget dropout-clean fixed39,3,20260628,11,345.0,0.114505873339599,0.016604310722972023
Forget dropout-clean fixed39,3,20260628,12,375.0,0.14256205996122895,0.027100789826160095
Forget dropout-clean fixed39,3,20260628,13,405.0,0.18896785612581152,0.03955210261844098
Forget dropout-clean fixed39,3,20260628,14,435.0,0.22009418911829073,0.052447965939858815
Forget dropout-clean fixed39,3,20260628,15,465.0,0.1985821385207974,0.062190244111921394
Forget dropout-clean fixed39,3,20260628,16,495.0,0.18635332248588557,0.06995043651029414
Forget random fixed40,1,20260626,1,45.0,-0.02731011722720937,-0.02731011722720937
Forget random fixed40,1,20260626,2,75.0,0.0873794717816752,0.03003467727723291
Forget random fixed40,1,20260626,3,105.0,0.11762303345903856,0.05923079600450146
Forget random fixed40,1,20260626,4,135.0,0.14663160613597526,0.08108099853736991
Forget random fixed40,1,20260626,5,165.0,0.15218293874712763,0.09530138657932145
Forget random fixed40,1,20260626,6,195.0,0.17999379713894167,0.10941678833925816
Forget random fixed40,1,20260626,7,225.0,0.1470594455309246,0.1147943107952105
Forget random fixed40,1,20260626,8,255.0,0.05913948061572851,0.10783745702277527
Forget random fixed40,1,20260626,9,285.0,0.02599895667331,0.09874429031727912
Forget random fixed40,1,20260626,10,315.0,0.010983340168233708,0.08996819530237458
Forget random fixed40,1,20260626,11,345.0,0.006215283072129941,0.08235429419053415
Forget random fixed40,1,20260626,12,375.0,-0.015738511199136603,0.07417989374139493
Forget random fixed40,1,20260626,13,405.0,-0.0003323869834872017,0.06844817983948091
Forget random fixed40,1,20260626,14,435.0,0.019758664812533154,0.06497035733755607
Forget random fixed40,1,20260626,15,465.0,0.044249759493267815,0.06358898414793686
Forget random fixed40,1,20260626,16,495.0,0.050990116843673695,0.06280155494142042
Forget random fixed40,2,20260627,1,45.0,-0.09290490718422983,-0.09290490718422983
Forget random fixed40,2,20260627,2,75.0,-0.018264403835055374,-0.05558465550964261
Forget random fixed40,2,20260627,3,105.0,-0.07345718429606185,-0.06154216510511569
Forget random fixed40,2,20260627,4,135.0,-0.16449188469033288,-0.08727959500141999
Forget random fixed40,2,20260627,5,165.0,-0.2102247607551991,-0.1118686281521758
Forget random fixed40,2,20260627,6,195.0,-0.15637590519860736,-0.1192865076599144
Forget random fixed40,2,20260627,7,225.0,-0.12117136530581157,-0.11955577303789972
Forget random fixed40,2,20260627,8,255.0,-0.10700915244635878,-0.1179874454639571
Forget random fixed40,2,20260627,9,285.0,-0.09088139813299194,-0.1149756624271832
Forget random fixed40,2,20260627,10,315.0,-0.07855601007137673,-0.11133369719160255
Forget random fixed40,2,20260627,11,345.0,-0.054913042764960535,-0.10620454678918055
Forget random fixed40,2,20260627,12,375.0,0.007510349920556463,-0.09672830539670246
Forget random fixed40,2,20260627,13,405.0,0.018260669147953938,-0.08788299966249812
Forget random fixed40,2,20260627,14,435.0,-0.009987129857333433,-0.08231900896212922
Forget random fixed40,2,20260627,15,465.0,-0.045973550211395015,-0.07989597837874693
Forget random fixed40,2,20260627,16,495.0,-0.03669585161631216,-0.07719597045609476
Forget random fixed40,3,20260628,1,45.0,-0.08211087543705965,-0.08211087543705965
Forget random fixed40,3,20260628,2,75.0,-0.013525992580952368,-0.04781843400900601
Forget random fixed40,3,20260628,3,105.0,-0.004277708835059427,-0.033304858951023815
Forget random fixed40,3,20260628,4,135.0,0.0007628833141758817,-0.02478792338472389
Forget random fixed40,3,20260628,5,165.0,0.0010940167556958257,-0.01961153535663995
Forget random fixed40,3,20260628,6,195.0,0.06838475262958867,-0.004945487358935182
Forget random fixed40,3,20260628,7,225.0,0.11546415309105904,0.01225588984820685
Forget random fixed40,3,20260628,8,255.0,0.1422013309370098,0.02849906998430722
Forget random fixed40,3,20260628,9,285.0,0.14020145965760267,0.04091044661467338
Forget random fixed40,3,20260628,10,315.0,0.1434186365689582,0.05116126561010186
Forget random fixed40,3,20260628,11,345.0,0.1426776369068069,0.059480935727984144
Forget random fixed40,3,20260628,12,375.0,0.1986862094480624,0.07108137520465733
Forget random fixed40,3,20260628,13,405.0,0.24885453370118707,0.08475623355054424
Forget random fixed40,3,20260628,14,435.0,0.25402243112601114,0.09684667623450614
Forget random fixed40,3,20260628,15,465.0,0.26254777486558145,0.1078934161432445
Forget random fixed40,3,20260628,16,495.0,0.2666903472174966,0.11781822433538526
Original interference random fixed40,1,20250828,1,45.0,0.1065442948116605,0.1065442948116605
Original interference random fixed40,1,20250828,2,75.0,0.18581999693967563,0.14618214587566805
Original interference random fixed40,1,20250828,3,105.0,0.16919887854166307,0.1538543900976664
Original interference random fixed40,1,20250828,4,135.0,0.13014782445646136,0.14792774868736513
Original interference random fixed40,1,20250828,5,165.0,0.09598782472317381,0.13753976389452688
Original interference random fixed40,1,20250828,6,195.0,0.082337941200958,0.12833946011226538
Original interference random fixed40,1,20250828,7,225.0,0.08232321967637211,0.12176571147856635
Original interference random fixed40,1,20250828,8,255.0,0.07099948536102445,0.11541993321387363
Original interference random fixed40,1,20250828,9,285.0,0.05472649991126703,0.1086762184024729
Original interference random fixed40,1,20250828,10,315.0,0.04394060508421541,0.10220265707064713
Original interference random fixed40,1,20250828,11,345.0,0.03303636737382457,0.09591481255275418
Original interference random fixed40,1,20250828,12,375.0,0.024615233874291636,0.08997318099621564
Original interference random fixed40,1,20250828,13,405.0,0.01592700054272166,0.08427732096133149
Original interference random fixed40,1,20250828,14,435.0,0.007239062618831311,0.07877458822258147
Original interference random fixed40,1,20250828,15,465.0,-0.00413385315965825,0.07324735879709882
