pair_id,target_mode,match_direction,decoder_direction,r1_session,r2_session,r1_date,r2_date,train_session,test_session,n_trials_r1,n_trials_r2,n_trials_train,n_trials_test,anchor_pair_mean,anchor_pair_sd,selected_pair_mean,selected_anchor_z,baseline_corr,matched_corr,delta_corr
1,relative_position,trim_r2_to_r1,R1->R2,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,43,90,43,90,7.366623059137062,13.325177788482604,3.26942463462021,-0.3074779556080818,0.2620183330244693,0.2620183330244693,0.0
1,relative_position,trim_r2_to_r1,R2->R1,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,43,90,90,43,7.366623059137062,13.325177788482604,3.26942463462021,-0.3074779556080818,0.5311800143304759,0.5311800143304759,0.0
1,relative_position,trim_r1_to_r2,R1->R2,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,42,90,42,90,3.26942463462021,3.5366641470935463,4.812661894158791,0.4363539186515132,0.2620183330244693,0.1744846204068252,-0.08753371261764412
1,relative_position,trim_r1_to_r2,R2->R1,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,42,90,90,42,3.26942463462021,3.5366641470935463,4.812661894158791,0.4363539186515132,0.5311800143304759,0.6073478062611632,0.07616779193068735
2,relative_position,trim_r2_to_r1,R1->R2,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,43,95,43,95,7.366623059137062,13.325177788482604,1.7066157425394444,-0.4247603601574269,0.1529209329133686,0.15292093291336867,5.551115123125783e-17
2,relative_position,trim_r2_to_r1,R2->R1,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,43,95,95,43,7.366623059137062,13.325177788482604,1.7066157425394444,-0.4247603601574269,0.5183066830901308,0.5183066830901308,0.0
2,relative_position,trim_r1_to_r2,R1->R2,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,41,95,41,95,1.7066157425394444,2.2314050140595474,3.665902471699465,0.8780506975717205,0.1529209329133686,0.424068841781301,0.2711479088679324
2,relative_position,trim_r1_to_r2,R2->R1,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,41,95,95,41,1.7066157425394444,2.2314050140595474,3.665902471699465,0.8780506975717205,0.5183066830901308,0.606475861989699,0.08816917889956821
3,relative_position,trim_r2_to_r1,R1->R2,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250731,20250830,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,43,79,43,79,7.366623059137062,13.325177788482604,2.643647612482717,-0.3544399573217379,0.2719677504932341,0.2719677504932341,0.0
3,relative_position,trim_r2_to_r1,R2->R1,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250731,20250830,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,43,79,79,43,7.366623059137062,13.325177788482604,2.643647612482717,-0.3544399573217379,0.328566111424137,0.328566111424137,0.0
