analysis,match_direction,score,unit,n,mean_gap,gap_sd,ci95_low,ci95_high,t_statistic,p_one_sided_gt0,p_two_sided,cohen_dz,wilcoxon_p_one_sided_gt0,positive_fraction,crossed_boot_ci95_low,crossed_boot_ci95_high,crossed_boot_fraction_le0
directional_gap,trim_r2_to_r1,original,pair_cells,42,0.09727957436610225,0.16787686059295132,0.04496546186969704,0.14959368686250746,3.7553936527727956,0.00026921440963322815,0.0005384288192664563,0.5794698210492194,0.0002635947910221148,0.7619047619047619,-0.02770066997631881,0.2124523552441943,0.06066
directional_gap,trim_r2_to_r1,original,r1_session_means,14,0.09727957436610227,0.10475030169626015,0.03679855081232977,0.15776059791987476,3.4748046746880803,0.0020539221497102318,0.0041078442994204635,0.9286806127602341,0.0042724609375,0.7142857142857143,-0.02770066997631881,0.2124523552441943,0.06066
directional_gap,trim_r2_to_r1,original,r2_session_means,3,0.09727957436610224,0.1137458711502714,-0.18528083371418086,0.37983998244638534,1.481312364456422,0.13835071134827362,0.27670142269654724,0.8552360923728362,0.25,0.6666666666666666,-0.02770066997631881,0.2124523552441943,0.06066
directional_gap,trim_r2_to_r1,matched,pair_cells,42,0.09727957436610225,0.16787686059295132,0.04496546186969704,0.14959368686250746,3.7553936527727956,0.00026921440963322815,0.0005384288192664563,0.5794698210492194,0.0002635947910221148,0.7619047619047619,-0.027284235525928402,0.21197792662045095,0.06156
directional_gap,trim_r2_to_r1,matched,r1_session_means,14,0.09727957436610227,0.10475030169626015,0.03679855081232977,0.15776059791987476,3.4748046746880803,0.0020539221497102318,0.0041078442994204635,0.9286806127602341,0.0042724609375,0.7142857142857143,-0.027284235525928402,0.21197792662045095,0.06156
directional_gap,trim_r2_to_r1,matched,r2_session_means,3,0.09727957436610224,0.1137458711502714,-0.18528083371418086,0.37983998244638534,1.481312364456422,0.13835071134827362,0.27670142269654724,0.8552360923728362,0.25,0.6666666666666666,-0.027284235525928402,0.21197792662045095,0.06156
matched_minus_original_gap,trim_r2_to_r1,change,pair_cells,42,0.0,0.0,,,,,,,,0.0,,,
directional_gap,trim_r1_to_r2,original,pair_cells,42,0.09727957436610225,0.16787686059295132,0.04496546186969704,0.14959368686250746,3.7553936527727956,0.00026921440963322815,0.0005384288192664563,0.5794698210492194,0.0002635947910221148,0.7619047619047619,-0.027291591024779384,0.21287019213702665,0.0609
directional_gap,trim_r1_to_r2,original,r1_session_means,14,0.09727957436610227,0.10475030169626015,0.03679855081232977,0.15776059791987476,3.4748046746880803,0.0020539221497102318,0.0041078442994204635,0.9286806127602341,0.0042724609375,0.7142857142857143,-0.027291591024779384,0.21287019213702665,0.0609
directional_gap,trim_r1_to_r2,original,r2_session_means,3,0.09727957436610224,0.1137458711502714,-0.18528083371418086,0.37983998244638534,1.481312364456422,0.13835071134827362,0.27670142269654724,0.8552360923728362,0.25,0.6666666666666666,-0.027291591024779384,0.21287019213702665,0.0609
directional_gap,trim_r1_to_r2,matched,pair_cells,42,0.09751025351587578,0.16634646169111558,0.04567304688983429,0.14934746014191727,3.798930629770982,0.00023654996200161844,0.00047309992400323687,0.5861877224472621,0.00022448928143603553,0.7619047619047619,-0.02448853209978757,0.21218021982296778,0.05792
directional_gap,trim_r1_to_r2,matched,r1_session_means,14,0.09751025351587582,0.10480095818071476,0.03699998177875838,0.15802052525299326,3.481360921574239,0.0020282496493241858,0.0040564992986483715,0.9304328434453134,0.0042724609375,0.7142857142857143,-0.02448853209978757,0.21218021982296778,0.05792
directional_gap,trim_r1_to_r2,matched,r2_session_means,3,0.09751025351587578,0.11160990686375587,-0.17974412512932214,0.3747646321610737,1.5132412354271458,0.13469582479008158,0.26939164958016315,0.8736702346227044,0.25,0.6666666666666666,-0.02448853209978757,0.21218021982296778,0.05792
matched_minus_original_gap,trim_r1_to_r2,change,pair_cells,42,0.00023067914977353566,0.008546235357802235,-0.0024325152675492407,0.002893873567096312,0.17492751973494966,0.4309987951703747,0.8619975903407494,0.026991902295662673,0.5,0.023809523809523808,,,
