pair_id,target_mode,match_direction,decoder_direction,r1_session,r2_session,r1_date,r2_date,train_session,test_session,n_trials_r1,n_trials_r2,n_trials_train,n_trials_test,anchor_pair_mean,anchor_pair_sd,selected_pair_mean,selected_anchor_z,baseline_corr,matched_corr,delta_corr
1,relative_velocity,trim_r2_to_r1,R1->R2,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,43,54,43,54,0.5759955122674215,0.1745984551573519,0.7485182054458804,0.9881112236816628,0.1950878823640336,0.2081419836176429,0.013054101253609313
1,relative_velocity,trim_r2_to_r1,R2->R1,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,43,54,54,43,0.5759955122674215,0.1745984551573519,0.7485182054458804,0.9881112236816628,0.4261784341600825,0.3376802225758457,-0.08849821158423682
1,relative_velocity,trim_r1_to_r2,R1->R2,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,29,90,29,90,0.8688595485308579,0.2292151985642734,0.6430073912842404,-0.9853280177810158,0.1950878823640336,0.14447138167931914,-0.05061650068471446
1,relative_velocity,trim_r1_to_r2,R2->R1,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,29,90,90,29,0.8688595485308579,0.2292151985642734,0.6430073912842404,-0.9853280177810158,0.4261784341600825,0.4104195692811322,-0.015758864878950285
2,relative_velocity,trim_r2_to_r1,R1->R2,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,43,67,43,67,0.5759955122674215,0.1745984551573519,0.7503054629337076,0.998347611433298,0.1734096813232632,0.16461789946113703,-0.008791781862126175
2,relative_velocity,trim_r2_to_r1,R2->R1,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,43,67,67,43,0.5759955122674215,0.1745984551573519,0.7503054629337076,0.998347611433298,0.4315519154122282,0.38122226498872247,-0.050329650423505734
2,relative_velocity,trim_r1_to_r2,R1->R2,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,40,95,40,95,0.8623892010399029,0.2723742189970717,0.5906564465520266,-0.9976449147369472,0.1734096813232632,0.1859044287272984,0.012494747404035195
2,relative_velocity,trim_r1_to_r2,R2->R1,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,40,95,95,40,0.8623892010399029,0.2723742189970717,0.5906564465520266,-0.9976449147369472,0.4315519154122282,0.3548184836527747,-0.07673343175945352
3,relative_velocity,trim_r2_to_r1,R1->R2,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250731,20250830,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,43,77,43,77,0.5759955122674215,0.1745984551573519,0.7460769185030802,0.9741289296195528,0.1022400743032152,0.10697520759971345,0.004735133296498245
3,relative_velocity,trim_r2_to_r1,R2->R1,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250731,20250830,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,43,77,77,43,0.5759955122674215,0.1745984551573519,0.7460769185030802,0.9741289296195528,0.2059267487618199,0.23734106616672335,0.03141431740490344
3,relative_velocity,trim_r1_to_r2,R1->R2,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250731,20250830,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,43,79,43,79,0.7607158166146287,0.1928133633696211,0.5759955122674215,-0.9580264620616588,0.1022400743032152,0.10224007430321529,8.326672684688674e-17
3,relative_velocity,trim_r1_to_r2,R2->R1,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250731,20250830,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,43,79,79,43,0.7607158166146287,0.1928133633696211,0.5759955122674215,-0.9580264620616588,0.2059267487618199,0.20592674876181993,2.7755575615628914e-17
4,relative_velocity,trim_r2_to_r1,R1->R2,TSAL20250801_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250801,20250828,TSAL20250801_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,91,25,91,25,0.4763180550971735,0.1020649689390335,0.5757818531519279,0.9745145576262024,0.1468643892900432,0.28640423662783177,0.13953984733778857
4,relative_velocity,trim_r2_to_r1,R2->R1,TSAL20250801_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250801,20250828,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250801_0830_staticAndStaticFree,91,25,25,91,0.4763180550971735,0.1020649689390335,0.5757818531519279,0.9745145576262024,0.3572729442971471,0.2765764808563554,-0.08069646344079173
4,relative_velocity,trim_r1_to_r2,R1->R2,TSAL20250801_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250801,20250828,TSAL20250801_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,22,90,22,90,0.8688595485308579,0.2292151985642734,0.6435925862878025,-0.9827749802545886,0.1468643892900432,0.07521371944953811,-0.07165066984050508
4,relative_velocity,trim_r1_to_r2,R2->R1,TSAL20250801_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250801,20250828,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250801_0830_staticAndStaticFree,22,90,90,22,0.8688595485308579,0.2292151985642734,0.6435925862878025,-0.9827749802545886,0.3572729442971471,0.16926099830087896,-0.18801194599626816
5,relative_velocity,trim_r2_to_r1,R1->R2,TSAL20250801_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250801,20250829,TSAL20250801_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,91,32,91,32,0.4763180550971735,0.1020649689390335,0.5754127494349223,0.9708981971761632,0.2325846250763474,0.3474412517754475,0.1148566266991001
5,relative_velocity,trim_r2_to_r1,R2->R1,TSAL20250801_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250801,20250829,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250801_0830_staticAndStaticFree,91,32,32,91,0.4763180550971735,0.1020649689390335,0.5754127494349223,0.9708981971761632,0.3770099364658514,0.2178362939530237,-0.1591736425128277
