analysis_mode,r2_date,checkpoint,time_end_ms,forward_mean,reverse_mean,gap_mean
dropout_clean_fixed39,20260626,through_150ms,150,0.3546534600160803,0.22665006962612874,-0.1280033903899515
dropout_clean_fixed39,20260626,through_360ms,360,0.4850534262898035,0.4630944667226728,-0.021958959567130776
dropout_clean_fixed39,20260626,through_510ms,510,0.49261577466801265,0.4863671255741822,-0.006248649093830469
dropout_clean_fixed39,20260626,through_900ms,900,0.4786701426649051,0.5009502374032007,0.022280094738295526
dropout_clean_fixed39,20260626,full_reach_endpoint,2520,0.481259608436051,0.509451782531744,0.028192174095692916
dropout_clean_fixed39,20260627,through_150ms,150,0.24833919925183273,0.2539549034200285,0.005615704168195794
dropout_clean_fixed39,20260627,through_360ms,360,0.3706226448888771,0.42499947277419053,0.054376827885313526
dropout_clean_fixed39,20260627,through_510ms,510,0.4012990187933636,0.42798769302295464,0.026688674229591126
dropout_clean_fixed39,20260627,through_900ms,900,0.42355966949807405,0.4501452458825156,0.02658557638444149
dropout_clean_fixed39,20260627,full_reach_endpoint,2520,0.43934865555289065,0.46098302563984217,0.02163437008695156
dropout_clean_fixed39,20260628,through_150ms,150,0.2360171925396155,0.3466941279937123,0.11067693545409683
dropout_clean_fixed39,20260628,through_360ms,360,0.4581896216465693,0.611690894260983,0.1535012726144138
dropout_clean_fixed39,20260628,through_510ms,510,0.48913132987795455,0.6229593828973777,0.1338280530194232
dropout_clean_fixed39,20260628,through_900ms,900,0.5050335588194451,0.6410396327270037,0.13600607390755862
dropout_clean_fixed39,20260628,full_reach_endpoint,2520,0.5064158820788471,0.6542544781322067,0.14783859605335967
fixed40,20260626,through_150ms,150,0.36250652191751137,0.22077754890620777,-0.14172897301130358
fixed40,20260626,through_360ms,360,0.47302066238039037,0.4359678430088892,-0.037052819371501164
fixed40,20260626,through_510ms,510,0.4870071941951272,0.4739931847698574,-0.013014009425269814
fixed40,20260626,through_900ms,900,0.4767489154105028,0.49702316411311775,0.020274248702614975
fixed40,20260626,full_reach_endpoint,2520,0.4788895396720432,0.5065484746114258,0.027658934939382575
fixed40,20260627,through_150ms,150,0.1963760888766357,0.24088082540727393,0.044504736530638175
fixed40,20260627,through_360ms,360,0.37509095056068864,0.40633737746466747,0.031246426903978736
fixed40,20260627,through_510ms,510,0.40969463217086416,0.3992492844303378,-0.01044534774052634
fixed40,20260627,through_900ms,900,0.42955403225840205,0.4236755704943815,-0.0058784617640205705
fixed40,20260627,full_reach_endpoint,2520,0.446570657309364,0.43195561404582156,-0.014615043263542429
fixed40,20260628,through_150ms,150,0.24661459187401666,0.3183854531565635,0.07177086128254688
fixed40,20260628,through_360ms,360,0.40355740839690823,0.6114563832294572,0.20789897483254904
fixed40,20260628,through_510ms,510,0.4281637489195298,0.6394878492625569,0.21132410034302695
fixed40,20260628,through_900ms,900,0.4450074075998973,0.6618945908232642,0.21688718322336686
fixed40,20260628,full_reach_endpoint,2520,0.4471178016333222,0.6762033045448284,0.2290855029115063
