pair_id,r1_session,r2_session,r1_date,r2_date,neural_log_ratio,movement_log_ratio,forward,reverse,gap
1,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,0.41108161849436686,-0.8123453835517874,0.2881691001607476,0.5267315320892073,0.2385624319284596
2,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,0.4036068086279153,-1.4624470886815826,0.3004285057435909,0.4810948464395024,0.1806663406959115
3,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250731,20250830,0.2781599845082962,-1.0247997653403493,0.1763326346393967,0.396638200088085,0.2203055654486882
4,TSAL20250801_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250801,20250828,0.6010956738836926,-0.18181389539631965,0.3490451918365614,0.5369631549995685,0.1879179631630072
5,TSAL20250801_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250801,20250829,0.5936208640172409,-0.8319156005261146,0.3306728003514754,0.5829307822143823,0.2522579818629067
6,TSAL20250801_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250801,20250830,0.4681740398976219,-0.39426827718488155,0.2973636983068314,0.5119413102449218,0.2145776119380905
7,TSAL20250802_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250802,20250828,0.35741240734745233,0.10325292169433925,0.4085948660615692,0.4921759441509506,0.0835810780893814
8,TSAL20250802_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250802,20250829,0.3499375974810008,-0.5468487834354557,0.4861904712175618,0.5185450893164265,0.0323546180988645
9,TSAL20250802_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250802,20250830,0.22449077336138173,-0.10920146009422262,0.407414501752978,0.4291824028661936,0.0217679011132155
10,TSAL20250803_1400_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250803,20250828,0.5135636359454139,-0.29292826522512694,0.3574229572397038,0.5250598486511452,0.1676368914114414
11,TSAL20250803_1400_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250803,20250829,0.5060888260789623,-0.9430299703549219,0.3639787050463296,0.5174275294645153,0.1534488244181856
