pair_id,match_mode,r1_session,r2_session,r1_date,r2_date,r1_n_before,r2_n_before,n_retained_each,r1_retain_fraction,r2_retain_fraction,direction_r1,direction_r2,within_tolerance,requested_tolerance,minimum_trials,r1_neural_mean_before,r2_neural_mean_before,neural_gap_before,r1_neural_mean_after,r2_neural_mean_after,neural_gap_after,neural_wasserstein_before,neural_wasserstein_after,r1_position_mean_before,r2_position_mean_before,position_gap_before,r1_position_mean_after,r2_position_mean_after,position_gap_after,position_wasserstein_before,position_wasserstein_after
1,neural,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,43,90,40,0.9302325581395349,0.4444444444444444,adaptive,adaptive,False,0.1,40,0.5759955122674215,0.8688595485308579,0.4053888091745751,0.5906564465520266,0.6786289350743886,0.13861735082718318,0.29405342726025013,0.1013454794784613,7.366623059137056,3.269424634620207,0.770436264012179,7.769426028478755,2.6718999739127667,0.9764135423792784,4.097198424516846,5.097526054565989
1,position,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,43,90,40,0.9302325581395349,0.4444444444444444,adaptive,adaptive,True,0.1,40,0.5759955122674215,0.8688595485308579,0.4053888091745751,0.5762896726785488,0.906912567240164,0.44582307882670813,0.29405342726025013,0.33178772034268694,7.366623059137056,3.269424634620207,0.770436264012179,6.045349694117202,6.045338709618388,1.8170179309649393e-06,4.097198424516846,3.8376782588733884
1,joint,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250731,20250828,43,90,40,0.9302325581395349,0.4444444444444444,joint,joint,False,0.1,40,0.5759955122674215,0.8688595485308579,0.4053888091745751,0.5811472519247234,0.8085733397619851,0.32729757218497263,0.29405342726025013,0.2326071044052642,7.366623059137056,3.269424634620207,0.770436264012179,7.151003881617555,5.142548505687316,0.32674939068129766,4.097198424516846,3.7487141077312343
2,neural,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,43,95,40,0.9302325581395349,0.42105263157894735,adaptive,adaptive,True,0.1,40,0.5759955122674215,0.8623892010399029,0.39821570143632457,0.5906564465520266,0.6122997163585372,0.03598347217265914,0.2863972686084835,0.05422409093273859,7.366623059137056,1.7066157425394428,1.2476266612869906,7.769426028478755,1.3042296530032362,1.4250477651846634,5.6600073165976115,6.46519637547552
2,position,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,43,95,40,0.9302325581395349,0.42105263157894735,adaptive,adaptive,True,0.1,40,0.5759955122674215,0.8623892010399029,0.39821570143632457,0.5683032502640836,0.8985753536235405,0.45030597962796204,0.2863972686084835,0.3302721033594569,7.366623059137056,1.7066157425394428,1.2476266612869906,3.2359532550717667,3.1925982481303556,0.013488266188678894,5.6600073165976115,0.5143640911568717
2,joint,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,20250731,20250829,43,95,40,0.9302325581395349,0.42105263157894735,joint,joint,False,0.1,40,0.5759955122674215,0.8623892010399029,0.39821570143632457,0.5765067291802066,0.8253583212762746,0.35502931186569764,0.2863972686084835,0.2504419701252739,7.366623059137056,1.7066157425394428,1.2476266612869906,4.337829278350797,3.07183285233482,0.3417150211945855,5.6600073165976115,1.3196948240145732
3,neural,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250731,20250830,43,79,40,0.9302325581395349,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.5759955122674215,0.7607158166146287,0.2763802480849726,0.5906564465520266,0.5947430319594136,0.006894866214246431,0.1874522818409176,0.05114555212843395,7.366623059137056,2.6436476124827157,0.9436259221330547,7.769426028478755,0.7777521746477718,1.636019207198337,4.722975446654339,6.991673853830983
3,position,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250731,20250830,43,79,40,0.9302325581395349,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.5759955122674215,0.7607158166146287,0.2763802480849726,0.5716406527390878,0.768840986642421,0.29422310326357076,0.1874522818409176,0.20186285369188214,7.366623059137056,2.6436476124827157,0.9436259221330547,4.72823893097913,4.728188111709285,1.0748091137639213e-05,4.722975446654339,1.508179375311228
3,joint,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,20250731,20250830,43,79,40,0.9302325581395349,0.5063291139240507,joint,joint,False,0.1,40,0.5759955122674215,0.7607158166146287,0.2763802480849726,0.5828241915426976,0.7306729332573489,0.22512229212097945,0.1874522818409176,0.1570031658616842,7.366623059137056,2.6436476124827157,0.9436259221330547,4.924780403719947,4.4318196817533435,0.10537176270512114,4.722975446654339,1.6030605338093604
4,neural,TSAL20250801_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,20250801,20250828,91,90,40,0.43956043956043955,0.4444444444444444,adaptive,adaptive,False,0.1,40,0.4763180550971735,0.8688595485308579,0.583627756476133,0.5801268415626598,0.6786289350743886,0.15650707681340958,0.39254149343368433,0.09852778911018993,3.921318354201196,3.269424634620207,0.18131470436209746,6.113462919020078,2.6718999739127667,0.7834765591472121,0.6518937195809886,3.4415629451073104
